               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.034158,           0.0094912,           0.0012446,              0.9588,             0.98207,             0.98065,             0.51944,            0.032514,           0.0071174,          0.00052565,           0.0075745,           0.0075745,           0.0075745
                  51,            0.033779,           0.0094033,           0.0012738,             0.94885,             0.97807,             0.97794,             0.51472,            0.032878,           0.0072249,          0.00050001,            0.007525,            0.007525,            0.007525
                  52,            0.034016,           0.0094035,           0.0012002,              0.9543,             0.98208,             0.97817,             0.50947,            0.032844,           0.0071699,          0.00051292,           0.0074755,           0.0074755,           0.0074755
                  53,             0.03355,           0.0094037,           0.0011996,             0.95869,             0.97256,             0.98037,             0.51777,            0.032039,           0.0071224,          0.00054687,            0.007426,            0.007426,            0.007426
                  54,            0.033475,            0.009335,           0.0011457,             0.95463,             0.98329,             0.98488,             0.51976,             0.03265,           0.0071755,          0.00045354,           0.0073765,           0.0073765,           0.0073765
                  55,            0.033491,            0.009292,           0.0011119,             0.95691,             0.98092,             0.97987,             0.50733,            0.032976,           0.0071523,          0.00043292,            0.007327,            0.007327,            0.007327
                  56,            0.033233,           0.0092978,           0.0011341,             0.95595,             0.98591,             0.98338,             0.51273,            0.032737,           0.0070887,           0.0004583,           0.0072775,           0.0072775,           0.0072775
                  57,            0.033055,           0.0093844,           0.0010716,             0.95824,             0.98293,             0.98312,             0.51962,            0.032059,           0.0070496,          0.00047163,            0.007228,            0.007228,            0.007228
                  58,            0.033163,           0.0091737,           0.0010845,             0.95833,             0.97701,             0.97882,             0.52449,            0.031849,           0.0070524,          0.00043505,           0.0071785,           0.0071785,           0.0071785
                  59,            0.032835,           0.0089868,           0.0011206,             0.96563,              0.9733,             0.98168,             0.52565,            0.031926,           0.0070862,           0.0004803,            0.007129,            0.007129,            0.007129
                  60,            0.032736,           0.0092093,           0.0011167,             0.94907,             0.98415,             0.97711,              0.5204,            0.032167,           0.0070337,          0.00055845,           0.0070795,           0.0070795,           0.0070795
                  61,            0.032779,           0.0092058,           0.0011165,             0.96361,             0.97801,             0.98238,              0.5235,            0.032129,           0.0070067,          0.00047827,             0.00703,             0.00703,             0.00703
                  62,            0.032685,           0.0092446,           0.0011297,             0.95294,             0.98176,             0.98012,             0.52366,            0.031905,           0.0070658,          0.00051435,           0.0069805,           0.0069805,           0.0069805
                  63,            0.032408,           0.0090968,           0.0010535,             0.96258,             0.97953,             0.98164,             0.53153,            0.031491,           0.0069416,          0.00039134,            0.006931,            0.006931,            0.006931
                  64,            0.032216,           0.0091213,           0.0010957,             0.96452,             0.97598,             0.98235,             0.52953,            0.031691,            0.006974,          0.00040487,           0.0068815,           0.0068815,           0.0068815
                  65,            0.032429,           0.0091736,            0.001111,              0.9612,             0.97957,             0.98293,             0.52879,            0.031511,           0.0069508,          0.00041527,            0.006832,            0.006832,            0.006832
                  66,            0.032091,           0.0090348,          0.00098053,             0.96052,             0.98151,             0.98282,             0.52669,            0.031758,            0.006994,          0.00044669,           0.0067825,           0.0067825,           0.0067825
                  67,            0.031949,           0.0089182,          0.00094081,             0.96441,             0.98013,               0.983,             0.53828,             0.03111,           0.0069275,          0.00039816,            0.006733,            0.006733,            0.006733
                  68,            0.031974,           0.0089451,           0.0010531,             0.96079,             0.97955,             0.98404,             0.53011,            0.031603,           0.0070259,            0.000466,           0.0066835,           0.0066835,           0.0066835
                  69,            0.031698,           0.0088425,          0.00097225,             0.96208,             0.98167,             0.98335,              0.5375,            0.031246,           0.0069131,          0.00041534,            0.006634,            0.006634,            0.006634
                  70,            0.031567,           0.0091435,          0.00098953,             0.96746,             0.97794,             0.98323,             0.53459,            0.031129,           0.0069052,          0.00042465,           0.0065845,           0.0065845,           0.0065845
                  71,            0.031723,           0.0089237,          0.00095013,             0.96642,              0.9805,             0.98367,              0.5323,            0.031403,           0.0069607,          0.00038318,            0.006535,            0.006535,            0.006535
                  72,            0.031656,           0.0091796,           0.0010825,             0.96632,             0.98077,             0.98257,              0.5322,            0.031463,           0.0069691,          0.00040966,           0.0064855,           0.0064855,           0.0064855
                  73,            0.031723,           0.0090787,           0.0013207,             0.96661,             0.96988,             0.98305,             0.53074,            0.031371,           0.0069896,          0.00038532,            0.006436,            0.006436,            0.006436
                  74,            0.031651,           0.0089935,           0.0010836,             0.95958,              0.9845,             0.98336,             0.54449,             0.03078,           0.0068641,          0.00041986,           0.0063865,           0.0063865,           0.0063865
                  75,            0.031266,           0.0088369,           0.0009669,             0.96482,             0.98054,             0.98465,             0.54137,            0.030724,           0.0068903,            0.000383,            0.006337,            0.006337,            0.006337
                  76,            0.030799,           0.0087752,          0.00096336,             0.96416,               0.974,             0.98106,             0.54343,            0.030822,           0.0068874,          0.00047149,           0.0062875,           0.0062875,           0.0062875
                  77,            0.031007,           0.0087678,           0.0010786,             0.96339,             0.97869,             0.98514,             0.55848,            0.029743,           0.0067373,          0.00037757,            0.006238,            0.006238,            0.006238
                  78,            0.030642,           0.0088241,          0.00097377,             0.96432,             0.97708,             0.98309,             0.54867,            0.030449,           0.0068212,          0.00033093,           0.0061885,           0.0061885,           0.0061885
                  79,            0.030445,           0.0087939,           0.0010244,             0.96196,             0.98588,              0.9836,              0.5566,            0.030085,           0.0067056,          0.00040114,            0.006139,            0.006139,            0.006139
                  80,            0.030224,           0.0088388,          0.00097237,             0.96312,             0.98307,             0.98525,             0.56351,            0.029718,           0.0066408,          0.00034421,           0.0060895,           0.0060895,           0.0060895
                  81,            0.030402,           0.0087187,           0.0009046,              0.9658,             0.98138,             0.98454,             0.56432,            0.029651,           0.0066213,          0.00038105,             0.00604,             0.00604,             0.00604
                  82,            0.029838,            0.008587,           0.0010884,             0.96748,             0.98247,             0.98477,             0.56408,            0.029651,             0.00668,          0.00037863,           0.0059905,           0.0059905,           0.0059905
                  83,            0.029773,           0.0084274,           0.0010333,             0.96569,             0.97826,             0.98363,             0.57126,            0.029287,           0.0066051,           0.0003576,            0.005941,            0.005941,            0.005941
                  84,            0.029979,           0.0085973,            0.001073,             0.96577,             0.97953,             0.98367,             0.56857,            0.029429,           0.0066281,          0.00037404,           0.0058915,           0.0058915,           0.0058915
                  85,            0.029639,           0.0085133,          0.00089511,             0.97173,             0.97609,             0.98451,             0.57325,             0.02906,           0.0065912,          0.00037227,            0.005842,            0.005842,            0.005842
                  86,             0.02937,           0.0085717,          0.00090365,             0.96485,             0.97899,              0.9847,             0.57952,            0.028705,           0.0065468,          0.00036315,           0.0057925,           0.0057925,           0.0057925
                  87,            0.028995,           0.0085318,          0.00091218,             0.96401,             0.98158,             0.98275,             0.57991,            0.028758,           0.0065092,           0.0003749,            0.005743,            0.005743,            0.005743
                  88,            0.028784,           0.0085789,          0.00088643,             0.96562,             0.98143,             0.98478,             0.58087,            0.028621,           0.0065001,          0.00039132,           0.0056935,           0.0056935,           0.0056935
                  89,            0.028721,           0.0084325,          0.00088856,             0.96712,             0.98284,             0.98578,             0.57743,            0.028848,           0.0065156,           0.0003508,            0.005644,            0.005644,            0.005644
                  90,            0.028553,           0.0083451,           0.0010216,             0.96638,             0.98385,             0.98559,              0.5807,            0.028548,           0.0064586,          0.00031192,           0.0055945,           0.0055945,           0.0055945
                  91,            0.028952,           0.0083856,           0.0010051,             0.96247,             0.98422,             0.98598,              0.5876,            0.028333,           0.0064618,          0.00032299,            0.005545,            0.005545,            0.005545
                  92,            0.028604,           0.0084219,          0.00089014,             0.96827,             0.98181,             0.98443,             0.58533,            0.028339,           0.0064313,          0.00032921,           0.0054955,           0.0054955,           0.0054955
                  93,            0.028407,           0.0084861,           0.0011087,             0.97165,             0.97827,             0.98654,             0.58903,            0.028378,           0.0064089,          0.00033355,            0.005446,            0.005446,            0.005446
                  94,            0.028419,           0.0083988,          0.00095665,             0.96976,             0.97788,             0.98632,             0.58469,            0.028437,           0.0064348,          0.00034587,           0.0053965,           0.0053965,           0.0053965
                  95,            0.028545,           0.0083118,          0.00092954,             0.96556,             0.97834,             0.98536,             0.58488,            0.028302,            0.006437,          0.00034714,            0.005347,            0.005347,            0.005347
                  96,            0.028251,            0.008201,          0.00094481,             0.96975,             0.98039,             0.98722,             0.58721,              0.0283,           0.0063966,          0.00033204,           0.0052975,           0.0052975,           0.0052975
                  97,              0.0282,           0.0083675,           0.0010419,             0.96761,             0.98504,             0.98558,              0.5891,            0.028167,           0.0063737,           0.0003292,            0.005248,            0.005248,            0.005248
                  98,            0.028122,           0.0083875,           0.0009005,             0.96958,             0.98315,             0.98559,             0.58734,            0.028186,           0.0063536,          0.00034599,           0.0051985,           0.0051985,           0.0051985
                  99,            0.027844,           0.0082479,           0.0009841,             0.96923,             0.98185,             0.98643,             0.58882,            0.028136,           0.0063746,          0.00036581,            0.005149,            0.005149,            0.005149
                 100,            0.027693,           0.0080791,          0.00087449,             0.96919,             0.97817,             0.98488,             0.58753,            0.028182,           0.0063792,          0.00036777,           0.0050995,           0.0050995,           0.0050995
                 101,            0.027555,           0.0081685,          0.00083317,             0.96337,             0.98512,             0.98528,             0.59036,            0.027994,           0.0063759,          0.00033465,             0.00505,             0.00505,             0.00505
                 102,            0.027505,           0.0081273,          0.00095113,             0.97169,             0.98096,             0.98603,             0.59415,            0.027765,           0.0063359,          0.00033868,           0.0050005,           0.0050005,           0.0050005
                 103,            0.027399,           0.0081666,          0.00097076,             0.97312,             0.98147,             0.98561,             0.59421,            0.027756,           0.0063281,          0.00030911,            0.004951,            0.004951,            0.004951
                 104,            0.027303,           0.0082338,           0.0009742,             0.96752,             0.98519,             0.98571,             0.59647,             0.02763,           0.0063131,          0.00029156,           0.0049015,           0.0049015,           0.0049015
                 105,            0.027467,           0.0080985,          0.00098451,             0.97196,              0.9823,             0.98463,             0.59791,            0.027517,           0.0063058,          0.00030773,            0.004852,            0.004852,            0.004852
                 106,            0.027105,           0.0080301,          0.00081602,             0.97347,             0.98138,              0.9867,             0.60029,            0.027325,           0.0062689,          0.00029785,           0.0048025,           0.0048025,           0.0048025
                 107,            0.026752,           0.0079931,           0.0007788,             0.97241,             0.98344,             0.98601,             0.59808,            0.027446,            0.006268,          0.00030482,            0.004753,            0.004753,            0.004753
                 108,            0.026627,           0.0078475,          0.00078994,             0.97269,             0.98178,             0.98595,             0.59966,            0.027363,           0.0062614,          0.00031552,           0.0047035,           0.0047035,           0.0047035
                 109,            0.026507,           0.0079334,          0.00083668,             0.97446,             0.98167,             0.98671,             0.60159,            0.027383,           0.0062741,          0.00032736,            0.004654,            0.004654,            0.004654
                 110,            0.026521,           0.0080252,          0.00083419,             0.97337,             0.98378,             0.98663,             0.60121,            0.027429,           0.0062651,          0.00035031,           0.0046045,           0.0046045,           0.0046045
                 111,            0.025951,           0.0079009,          0.00082007,             0.97127,             0.98165,             0.98651,             0.60379,             0.02735,           0.0062696,          0.00031945,            0.004555,            0.004555,            0.004555
                 112,            0.026014,           0.0078038,          0.00082201,             0.97492,             0.97935,             0.98639,             0.60413,            0.027267,            0.006243,          0.00033829,           0.0045055,           0.0045055,           0.0045055
                 113,            0.026136,           0.0080202,          0.00079196,             0.97205,             0.98391,             0.98656,             0.60333,            0.027209,           0.0062316,          0.00030862,            0.004456,            0.004456,            0.004456
                 114,            0.025841,           0.0079131,          0.00076736,             0.97012,             0.98492,             0.98636,             0.60183,            0.027283,           0.0062458,          0.00029623,           0.0044065,           0.0044065,           0.0044065
                 115,            0.025701,           0.0077983,          0.00082107,             0.97332,             0.98128,             0.98581,             0.60348,             0.02716,           0.0062396,          0.00028251,            0.004357,            0.004357,            0.004357
                 116,             0.02577,           0.0078481,          0.00082025,             0.96649,             0.98557,             0.98585,             0.60398,            0.027083,           0.0062343,          0.00027193,           0.0043075,           0.0043075,           0.0043075
                 117,            0.025569,           0.0077715,           0.0007803,             0.97235,             0.98258,             0.98661,              0.6075,            0.026853,           0.0062003,          0.00026509,            0.004258,            0.004258,            0.004258
                 118,            0.025452,           0.0078484,          0.00075985,             0.97378,             0.98041,             0.98734,              0.6086,            0.026834,           0.0062118,          0.00024989,           0.0042085,           0.0042085,           0.0042085
                 119,            0.025239,           0.0078901,          0.00080955,             0.97414,             0.97875,             0.98669,             0.61053,            0.026737,           0.0061905,          0.00025816,            0.004159,            0.004159,            0.004159
                 120,            0.025243,           0.0077721,          0.00081314,              0.9723,             0.98171,             0.98633,             0.61032,            0.026779,           0.0061944,          0.00025665,           0.0041095,           0.0041095,           0.0041095
                 121,            0.025092,           0.0077117,          0.00073855,             0.97093,             0.98406,             0.98615,              0.6093,            0.026735,           0.0061995,           0.0002566,             0.00406,             0.00406,             0.00406
                 122,            0.025094,           0.0076078,          0.00082052,              0.9685,             0.98517,             0.98632,             0.60849,            0.026689,           0.0061841,          0.00026516,           0.0040105,           0.0040105,           0.0040105
                 123,            0.025018,           0.0076327,          0.00084374,             0.97175,             0.98265,             0.98662,             0.61115,            0.026688,           0.0061888,          0.00025391,            0.003961,            0.003961,            0.003961
                 124,            0.025012,           0.0076446,          0.00080078,             0.97278,             0.98105,             0.98661,             0.61151,            0.026612,           0.0061786,          0.00024919,           0.0039115,           0.0039115,           0.0039115
                 125,            0.024753,           0.0076631,          0.00071985,             0.97263,             0.98046,             0.98665,             0.61284,            0.026523,           0.0061685,          0.00025241,            0.003862,            0.003862,            0.003862
                 126,            0.024743,           0.0076441,          0.00073706,             0.97007,             0.98221,             0.98624,             0.61305,            0.026479,            0.006161,          0.00024935,           0.0038125,           0.0038125,           0.0038125
                 127,            0.024269,           0.0075392,          0.00070697,             0.97138,             0.98282,             0.98679,              0.6128,            0.026479,           0.0061583,          0.00023742,            0.003763,            0.003763,            0.003763
                 128,            0.024254,           0.0076648,          0.00070693,             0.96937,             0.98553,             0.98718,             0.61319,             0.02643,            0.006158,          0.00023096,           0.0037135,           0.0037135,           0.0037135
                 129,            0.024345,           0.0074916,          0.00073629,             0.96936,             0.98634,             0.98599,               0.615,            0.026373,           0.0061502,          0.00023923,            0.003664,            0.003664,            0.003664
                 130,            0.024108,           0.0076072,          0.00065713,             0.97635,             0.98116,             0.98718,               0.615,            0.026341,           0.0061405,          0.00023733,           0.0036145,           0.0036145,           0.0036145
                 131,            0.024043,           0.0074903,            0.000729,             0.97409,             0.98146,             0.98842,             0.61506,            0.026283,           0.0061272,          0.00023817,            0.003565,            0.003565,            0.003565
